Date,UserID,LogDescription
9/28/2016 15:47,David,Finished powershell log script
9/28/2016 16:45,David,renamed logbook.csv for easier script launch
9/28/2016 17:25,David,Changed logbook script to be CSV; and replace instring commas 
28/09/2016 18:39:03,Administrator,Testing scripts on PFSV1 server (use command powershell.exe -executionpolicy bypass -file ),
28/09/2016 19:20:10,Administrator,Changed SetExecutionpolicy on TestVM,
9/29/2016 9:08:37 AM,David,test for logbook,
9/29/2016 9:21:49 AM,David,IP table > added HyperV network,
9/29/2016 10:16:35 AM,David,Succesfully created user from script (individual),
9/29/2016 11:52:30 AM,David,Script om bulk create gelukt ,
10/1/2016 1:13:09 PM,David,Create bulk create and delete (still problem with OU),
2/10/2016 12:52:19,Administrator,Testing individual add to OU ; not able to reproduce last nights succes,
10/2/2016 1:11:12 PM,David,succeeded in single user add to correct OU,
10/2/2016 1:29:31 PM,David,signle and bulk create go to correct ou (and enabled!),
10/2/2016 2:10:59 PM,David,Sexified display of script (better table format),
10/2/2016 2:54:48 PM,David,Added timing component to script,
10/2/2016 3:12:52 PM,David,added log function to script,
10/2/2016 4:10:20 PM,David,minor tweaks in output + testing,
10/2/2016 4:18:58 PM,David,added show all users to script,
10/2/2016 4:33:52 PM,David,updte show users and add delete indivual user,
10/2/2016 5:04:49 PM,David,fine tuned delete single user,
10/2/2016 5:14:28 PM,David,MILESTONE 1,
